,location_companies,location_schools,location_vegan,location_airports,location_starbucks,distance1,distance2,distance3,distance4
16,"{'type': 'Point', 'coordinates': [18.036587, 59.337864]}","{'type': 'Point', 'coordinates': [18.0273403, 59.3325218]}","{'type': 'Point', 'coordinates': [18.0502028, 59.3435077]}","{'type': 'Point', 'coordinates': [17.945618, 59.35559]}","{'type': 'Point', 'coordinates': [18.06, 59.33]}",0.7925939397409043,0.9952014419469207,5.522575871778115,1.5903408185608165
17,"{'type': 'Point', 'coordinates': [-73.957854, 40.714056]}","{'type': 'Point', 'coordinates': [-73.9547924, 40.715345]}","{'type': 'Point', 'coordinates': [-73.9512393, 40.7098014]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.96, 40.72]}",0.29525633723640254,0.731401665205805,9.881194082590653,0.6854351269006198
18,"{'type': 'Point', 'coordinates': [-73.956599, 40.768058]}","{'type': 'Point', 'coordinates': [-73.9460919, 40.774031]}","{'type': 'Point', 'coordinates': [-73.9591308, 40.7714726]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.96, 40.77]}",1.1066606030584796,0.43557604643892545,7.163830361640243,0.3587940318489384
19,"{'type': 'Point', 'coordinates': [-122.321836, 37.55909]}","{'type': 'Point', 'coordinates': [-122.3270935, 37.56566840000001]}","{'type': 'Point', 'coordinates': [-122.3235943, 37.5668413]}","{'type': 'Point', 'coordinates': [-122.38347, 37.617025]}","{'type': 'Point', 'coordinates': [-122.32, 37.56]}",0.8661660646749683,0.8759748890349204,8.428126600737965,0.1909204322096634
20,"{'type': 'Point', 'coordinates': [-89.39256, 43.068006]}","{'type': 'Point', 'coordinates': [-89.400172, 43.07386400000001]}","{'type': 'Point', 'coordinates': [-89.386999, 43.074913]}","{'type': 'Point', 'coordinates': [-89.345785, 43.136308]}","{'type': 'Point', 'coordinates': [-89.4, 43.07]}",0.8983667753788651,0.8912627228608038,8.493733853248207,0.6439315292075063
21,"{'type': 'Point', 'coordinates': [6.1503245, 46.2121463]}","{'type': 'Point', 'coordinates': [6.1450752, 46.2067241]}","{'type': 'Point', 'coordinates': [6.1554062, 46.2038421]}","{'type': 'Point', 'coordinates': [6.107946, 46.23101]}","{'type': 'Point', 'coordinates': [6.15, 46.21]}",0.7259279848213103,1.0030566961994904,3.8778410629865268,0.24002794491033277
22,"{'type': 'Point', 'coordinates': [-149.899597, 61.216583]}","{'type': 'Point', 'coordinates': [-149.8890374, 61.20813839999999]}","{'type': 'Point', 'coordinates': [-149.904348, 61.218557]}","{'type': 'Point', 'coordinates': [-149.981725, 61.172894]}","{'type': 'Point', 'coordinates': [-149.89, 61.22]}",1.096410108375005,0.3360707010027099,6.556386598942375,0.6392056666259146
23,"{'type': 'Point', 'coordinates': [-73.9799007, 40.7645772]}","{'type': 'Point', 'coordinates': [-73.9692663, 40.765039]}","{'type': 'Point', 'coordinates': [-73.9788916, 40.7577363]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.98, 40.76]}",0.8973381738559617,0.7656222834213535,9.157817590170973,0.5091735806955906
24,"{'type': 'Point', 'coordinates': [-121.948532, 37.317649]}","{'type': 'Point', 'coordinates': [-121.943694, 37.3088481]}","{'type': 'Point', 'coordinates': [-121.9490348, 37.3210366]}","{'type': 'Point', 'coordinates': [-121.929429, 37.369491]}","{'type': 'Point', 'coordinates': [-121.95, 37.32]}",1.0683604260029158,0.3794058564037462,6.008526366395244,0.29195930717099366
25,"{'type': 'Point', 'coordinates': [-77.0852258, 38.9169394]}","{'type': 'Point', 'coordinates': [-77.0790952, 38.9230112]}","{'type': 'Point', 'coordinates': [-77.07158299999999, 38.920775]}","{'type': 'Point', 'coordinates': [-77.043337, 38.853716]}","{'type': 'Point', 'coordinates': [-77.1, 38.92]}",0.8588030239827598,1.2553373908696104,7.912226848039826,1.3230814322238655
26,"{'type': 'Point', 'coordinates': [-121.949417, 37.317735]}","{'type': 'Point', 'coordinates': [-121.943694, 37.3088481]}","{'type': 'Point', 'coordinates': [-121.9490348, 37.3210366]}","{'type': 'Point', 'coordinates': [-121.929429, 37.369491]}","{'type': 'Point', 'coordinates': [-121.95, 37.32]}",1.1105644392023628,0.3687775353698053,6.021849712971314,0.25715145048906096
